Group,Alpha,Lambda,Fairness,mse,fairness,regret,G0_decision_obj,G0_decision_obj_std,G0_mse,G0_mse_std,G1_decision_obj,G1_decision_obj_std,G1_mse,G1_mse_std,fairness_std,mse_std,regret_std,training_time,training_time_std
True,0.5,0.0,atkinson,208.89341735839844,0.0017289519,0.10187478171433158,3.960402727127075,0.006745338439941406,202.34059143066406,0.758575439453125,18.141448974609375,0.00600433349609375,259.62054443359375,1.4327392578125,2.5749207e-05,0.8357086181640625,0.00015019463376460263,1.0368292331695557,0.022346973419189453
True,2.0,0.0,atkinson,208.89341735839844,0.0017289519,0.47408867474161387,1.9363081455230713,0.003727138042449951,202.34059143066406,0.758575439453125,2.4528331756591797,0.0057027339935302734,259.62054443359375,1.4327392578125,2.5749207e-05,0.8357086181640625,0.004830323745084492,1.0898654460906982,0.07575321197509766
True,0.5,1.0,atkinson,208.8934097290039,0.0017289817,0.101874775346846,3.960402250289917,0.006745338439941406,202.340576171875,0.758575439453125,18.14144515991211,0.006008148193359375,259.6205596923828,1.4326934814453125,2.56598e-05,0.8356857299804688,0.00015020100125019004,1.0847970247268677,0.06558692455291748
True,2.0,1.0,atkinson,208.8934097290039,0.0017289817,0.4740886677593996,1.9363083839416504,0.003726959228515625,202.340576171875,0.758575439453125,2.452833890914917,0.005702495574951172,259.6205596923828,1.4326934814453125,2.56598e-05,0.8356857299804688,0.004830442442726707,1.0793544054031372,0.05660593509674072
True,0.5,5.0,atkinson,208.8933868408203,0.0017289221,0.10187481805034845,3.960395336151123,0.006739974021911621,202.34058380126953,0.7585830688476562,18.14141845703125,0.006030082702636719,259.620361328125,1.432525634765625,2.5779009e-05,0.835693359375,0.00015021224393366867,1.0427489280700684,0.0508880615234375
True,2.0,5.0,atkinson,208.8933868408203,0.0017289221,0.4740900851488918,1.9363086223602295,0.0037262439727783203,202.34058380126953,0.7585830688476562,2.45283579826355,0.005701780319213867,259.620361328125,1.432525634765625,2.5779009e-05,0.835693359375,0.00482899712437751,1.067138910293579,0.07152032852172852
True,0.5,0.0,mad,208.89341735839844,28.639977,0.10187478171433158,3.960402727127075,0.006745338439941406,202.34059143066406,0.758575439453125,18.141448974609375,0.00600433349609375,259.62054443359375,1.4327392578125,0.3370819,0.8357086181640625,0.00015019463376460263,1.8908841609954834,0.4242987632751465
True,2.0,0.0,mad,208.89341735839844,28.639977,0.47408867474161387,1.9363081455230713,0.003727138042449951,202.34059143066406,0.758575439453125,2.4528331756591797,0.0057027339935302734,259.62054443359375,1.4327392578125,0.3370819,0.8357086181640625,0.004830323745084492,2.282246232032776,7.331371307373047e-05
True,0.5,0.05,mad,208.8757553100586,28.62061,0.10185760814266415,3.9608964920043945,0.005628466606140137,202.3273696899414,0.7557449340820312,18.14255142211914,0.009648323059082031,259.56858825683594,1.4076080322265625,0.32593155,0.8303146362304688,0.00015911266105141098,2.320829153060913,0.07849931716918945
True,2.0,0.05,mad,208.8757553100586,28.62061,0.47404879931604793,1.9364049434661865,0.0035475492477416992,202.3273696899414,0.7557449340820312,2.4530906677246094,0.005602717399597168,259.56858825683594,1.4076080322265625,0.32593155,0.8303146362304688,0.004600322625566783,2.386215329170227,0.11258876323699951
True,0.5,0.5,mad,209.28802490234375,28.76342,0.10149062648705387,3.9674298763275146,0.007106304168701172,202.7069549560547,1.020477294921875,18.143604278564453,0.00901031494140625,260.2337951660156,1.893829345703125,0.43667603,1.1203765869140625,0.0003101733466157122,2.3467154502868652,0.024655818939208984
True,2.0,0.5,mad,209.28802490234375,28.76342,0.4698758161312681,1.9362860918045044,0.0025472640991210938,202.7069549560547,1.020477294921875,2.4544360637664795,0.004994869232177734,260.2337951660156,1.893829345703125,0.43667603,1.1203765869140625,0.005028828096132976,2.5401347875595093,0.26056015491485596
False,0.5,0.0,atkinson,208.89341735839844,0.6089386,0.16801650372867039,5.136533737182617,0.008265972137451172,202.34059143066406,0.758575439453125,7.660690546035767,0.04154562950134277,259.62054443359375,1.4327392578125,0.0002681017,0.8357086181640625,0.0002679775778269833,2.280613899230957,0.07252264022827148
False,2.0,0.0,atkinson,208.89341735839844,0.6089386,0.3847100677210469,1.9376139044761658,0.003636181354522705,202.34059143066406,0.758575439453125,2.4591619968414307,0.003336191177368164,259.62054443359375,1.4327392578125,0.0002681017,0.8357086181640625,0.0034596034212384386,2.3676780462265015,0.22534000873565674
False,0.5,1.0,atkinson,208.89575958251953,0.60888296,0.16805704907899888,5.135814666748047,0.008376121520996094,202.34270477294922,0.7575149536132812,7.659364938735962,0.04146218299865723,259.62481689453125,1.429473876953125,0.000277102,0.8343887329101562,0.0002731787306387984,2.2512530088424683,0.05125558376312256
False,2.0,1.0,atkinson,208.89575958251953,0.60888296,0.38489104671686214,1.937639057636261,0.003635585308074951,202.34270477294922,0.7575149536132812,2.459228754043579,0.003354787826538086,259.62481689453125,1.429473876953125,0.000277102,0.8343887329101562,0.0034854096854565197,2.2134281396865845,0.09935295581817627
False,0.5,5.0,atkinson,208.9032211303711,0.608662,0.16821603886381462,5.132951259613037,0.00889444351196289,202.3490219116211,0.7549057006835938,7.654258728027344,0.04129171371459961,259.6410827636719,1.42132568359375,0.00031158328,0.8311538696289062,0.0002919147015631729,2.348428249359131,0.05333423614501953
False,2.0,5.0,atkinson,208.9032211303711,0.608662,0.3856044055920339,1.9377430081367493,0.0036376118659973145,202.3490219116211,0.7549057006835938,2.459515690803528,0.0034085512161254883,259.6410827636719,1.42132568359375,0.00031158328,0.8311538696289062,0.003584445413722076,2.203612446784973,0.05335390567779541
False,0.5,0.0,mad,208.89341735839844,287.669,0.16801650372867039,5.136533737182617,0.008265972137451172,202.34059143066406,0.758575439453125,7.660690546035767,0.04154562950134277,259.62054443359375,1.4327392578125,0.93040466,0.8357086181640625,0.0002679775778269833,2.0202765464782715,0.02769923210144043
False,2.0,0.0,mad,208.89341735839844,287.669,0.3847100677210469,1.9376139044761658,0.003636181354522705,202.34059143066406,0.758575439453125,2.4591619968414307,0.003336191177368164,259.62054443359375,1.4327392578125,0.93040466,0.8357086181640625,0.0034596034212384386,2.2036335468292236,0.07844114303588867
False,0.5,0.05,mad,208.91900634765625,287.41693,0.16864743902714924,5.128075838088989,0.009537935256958008,202.3684310913086,0.7495956420898438,7.64511513710022,0.04123091697692871,259.62872314453125,1.42218017578125,0.95217896,0.8265380859375,0.0003427441494968375,2.1642452478408813,0.0942152738571167
False,2.0,0.05,mad,208.91900634765625,287.41693,0.38730024581208033,1.9378876686096191,0.0036149024963378906,202.3684310913086,0.7495956420898438,2.4600363969802856,0.0034481287002563477,259.62872314453125,1.42218017578125,0.95217896,0.8265380859375,0.0038046365252973058,2.0218780040740967,0.02998495101928711
False,0.5,0.5,mad,209.2073745727539,286.20502,0.1720123484803574,5.080339670181274,0.015831708908081055,202.65771484375,0.64227294921875,7.55877947807312,0.042493581771850586,259.9099578857422,1.2916412353515625,0.9299469,0.7165756225585938,0.0007823597701137608,2.087012529373169,0.10056447982788086
False,2.0,0.5,mad,209.2073745727539,286.20502,0.40146174051919314,1.9392028450965881,0.003770172595977783,202.65771484375,0.64227294921875,2.464952230453491,0.004269599914550781,259.9099578857422,1.2916412353515625,0.9299469,0.7165756225585938,0.005736754878769235,2.117461919784546,0.1081242561340332
