Group,Alpha,Lambda,Fairness,regret,mse,fairness,training_time,Beta,G0_decision_obj,G0_decision_obj_std,G0_mse,G0_mse_std,G1_decision_obj,G1_decision_obj_std,G1_mse,G1_mse_std,fairness_std,mse_std,regret_std,training_time_std
True,0.5,0.0,mad,0.041048763566421655,31.003152465820314,1.6455452,1.9646968364715576,0.5,17.136275402365793,0.5191400289012147,30.626651000976562,1.2146379375703826,93.9547457943003,2.2630857700283706,33.91774139404297,1.625726550400691,0.3076833,1.2532193463700487,0.0022185489303698795,0.08529914720366011
True,1.5,0.0,mad,0.09268077848381863,31.003152465820314,1.6455452,2.062510538101196,1.5,5.499357299388772,1.15454623119799,30.626651000976562,1.2146379375703826,13.702215539517761,0.8675916332635214,33.91774139404297,1.625726550400691,0.3076833,1.2532193463700487,0.027640596723299733,0.08643204719796808
True,2.0,0.0,mad,4.680760075799604,31.003152465820314,1.6455452,2.0203361988067625,2.0,6.754837334790304,1.839889704391239,30.626651000976562,1.2146379375703826,2.8448757362079804,1.343215480026553,33.91774139404297,1.625726550400691,0.3076833,1.2532193463700487,5.572813888021615,0.06240496274737738
True,0.5,0.0,atkinson,0.041048763566421655,31.003152465820314,0.00028040409,2.017511224746704,0.5,17.136275402365793,0.5191400289012147,30.626651000976562,1.2146379375703826,93.9547457943003,2.2630857700283706,33.91774139404297,1.625726550400691,8.34361e-05,1.2532193463700487,0.0022185489303698795,0.07853651321799283
True,1.5,0.0,atkinson,0.09268077848381863,31.003152465820314,0.00028040409,2.060870361328125,1.5,5.499357299388772,1.15454623119799,30.626651000976562,1.2146379375703826,13.702215539517761,0.8675916332635214,33.91774139404297,1.625726550400691,8.34361e-05,1.2532193463700487,0.027640596723299733,0.08131344011208994
True,2.0,0.0,atkinson,4.680760075799604,31.003152465820314,0.00028040409,2.0751013278961183,2.0,6.754837334790304,1.839889704391239,30.626651000976562,1.2146379375703826,2.8448757362079804,1.343215480026553,33.91774139404297,1.625726550400691,8.34361e-05,1.2532193463700487,5.572813888021615,0.11861652107371286
True,0.5,1.0,mad,0.04165154021362509,32.32585220336914,2.613193,2.036228561401367,0.5,16.773502631080973,0.4556692425296871,31.727952194213866,0.8987710576227806,92.96563898234209,1.8424743130511325,36.95433807373047,0.5876384302935648,0.18113258,0.861154617401849,0.002481582930612414,0.036579288999458316
True,1.5,1.0,mad,0.08002862849509526,32.32585220336914,2.613193,1.9907027721405028,1.5,5.208482376471482,0.9023009950657039,31.727952194213866,0.8987710576227806,14.21361589597716,0.6458510405589588,36.95433807373047,0.5876384302935648,0.18113258,0.861154617401849,0.021711101312768794,0.06286216883260436
True,2.0,1.0,mad,2.341247152475664,32.32585220336914,2.613193,1.9515524864196778,2.0,6.743818067132793,2.5722635468241193,31.727952194213866,0.8987710576227806,3.565023585892804,1.1578086189788066,36.95433807373047,0.5876384302935648,0.18113258,0.861154617401849,2.179063720365559,0.05930795996868481
True,0.5,1.0,atkinson,0.0410491639039221,31.002664947509764,0.00028033258,2.0021090507507324,0.5,17.136523904975814,0.5196340510852906,30.626292037963868,1.2165998134992886,93.95609792719247,2.265233747486348,33.91625823974609,1.628926165325931,8.366264e-05,1.255306181742737,0.0022244753468083434,0.07768889709836535
True,1.5,1.0,atkinson,0.09285622448250513,31.002664947509764,0.00028033258,1.9632672786712646,1.5,5.499588531239086,1.1545902988454166,30.626292037963868,1.2165998134992886,13.697743138640845,0.8758447224380079,33.91625823974609,1.628926165325931,8.366264e-05,1.255306181742737,0.027967594180351878,0.06746074604899238
True,2.0,1.0,atkinson,4.746034907206201,31.002664947509764,0.00028033258,1.9622981548309326,2.0,6.7400710986630825,1.8173630248617836,30.626292037963868,1.2165998134992886,2.842488682343462,1.3465843655981082,33.91625823974609,1.628926165325931,8.366264e-05,1.255306181742737,5.701776069408899,0.06795439026033051
False,0.5,0.0,mad,0.08451013837565916,31.003152465820314,40.247185,1.9772443771362305,0.5,22.738468170166016,0.6828040622427014,30.626651000976562,1.2146379375703826,38.854566192626955,1.1075687529400664,33.91774139404297,1.625726550400691,1.2838647,1.2532193463700487,0.005109689987024674,0.0850979001217165
False,1.5,0.0,mad,0.12314149541251909,31.003152465820314,40.247185,1.9434475421905517,1.5,5.026358222961425,0.11212351339751532,30.626651000976562,1.2146379375703826,6.979149627685547,0.12531356360896914,33.91774139404297,1.625726550400691,1.2838647,1.2532193463700487,0.002032502451752128,0.0945069124214032
False,2.0,0.0,mad,0.8326806259494625,31.003152465820314,40.247185,1.9874182224273682,2.0,3.9422389030456544,0.1283759085917114,30.626651000976562,1.2146379375703826,5.066515827178955,0.13982615971085474,33.91774139404297,1.625726550400691,1.2838647,1.2532193463700487,0.02017192730056514,0.05810273730753121
False,0.5,0.0,atkinson,0.08451013837565916,31.003152465820314,0.59854746,1.9381346225738525,0.5,22.738468170166016,0.6828040622427014,30.626651000976562,1.2146379375703826,38.854566192626955,1.1075687529400664,33.91774139404297,1.625726550400691,0.011667235,1.2532193463700487,0.005109689987024674,0.03949513128875218
False,1.5,0.0,atkinson,0.12314149541251909,31.003152465820314,0.59854746,1.9304430484771729,1.5,5.026358222961425,0.11212351339751532,30.626651000976562,1.2146379375703826,6.979149627685547,0.12531356360896914,33.91774139404297,1.625726550400691,0.011667235,1.2532193463700487,0.002032502451752128,0.06420834942074014
False,2.0,0.0,atkinson,0.8326806259494625,31.003152465820314,0.59854746,1.9528319835662842,2.0,3.9422389030456544,0.1283759085917114,30.626651000976562,1.2146379375703826,5.066515827178955,0.13982615971085474,33.91774139404297,1.625726550400691,0.011667235,1.2532193463700487,0.02017192730056514,0.08386623266591245
False,0.5,1.0,mad,0.13904022140531014,41.03675003051758,43.231712,1.9606544017791747,0.5,17.468804550170898,0.34505480101501246,40.89446182250977,1.4371331744381863,30.194756317138673,0.7147134030440698,42.1382438659668,1.3695341508972714,1.0687891,1.4091325693095498,0.005298221525689747,0.08505115776921465
False,1.5,1.0,mad,0.14393914588774828,41.03675003051758,43.231712,1.9382885456085206,1.5,5.956964015960693,0.061493821559015574,40.89446182250977,1.4371331744381863,8.290459442138673,0.09292328998731754,42.1382438659668,1.3695341508972714,1.0687891,1.4091325693095498,0.0033770079015468706,0.08835198673742649
False,2.0,1.0,mad,0.836871044054036,41.03675003051758,43.231712,1.9849919319152831,2.0,5.116304206848144,0.08447218156733143,40.89446182250977,1.4371331744381863,6.622029495239258,0.13413828601330563,42.1382438659668,1.3695341508972714,1.0687891,1.4091325693095498,0.024472195072010105,0.12288760654209704
False,0.5,1.0,atkinson,0.08555837671386331,31.054082107543945,0.5956,1.9225848197937012,0.5,22.629044342041016,0.6713893036864109,30.67541923522949,1.2037267999038948,38.62086410522461,1.1096332509294589,33.98539352416992,1.6534687337257679,0.011562167,1.2459340549207842,0.0050455599335413924,0.04293907479187573
False,1.5,1.0,atkinson,0.12390486726631637,31.054082107543945,0.5956,1.9822805404663086,1.5,5.053403759002686,0.10949327102875396,30.67541923522949,1.2037267999038948,7.016619777679443,0.1242635936261625,33.98539352416992,1.6534687337257679,0.011562167,1.2459340549207842,0.0019004745021310712,0.0863399359637236
False,2.0,1.0,atkinson,0.8336141965967853,31.054082107543945,0.5956,1.9297359943389893,2.0,3.974122095108032,0.1260258735092188,30.67541923522949,1.2037267999038948,5.106475353240967,0.13964262389316986,33.98539352416992,1.6534687337257679,0.011562167,1.2459340549207842,0.020341234206408806,0.03521985311654296
